Epoch,BPC,VALID_BPC,train_error_rate,valid_error_rate
1,2.38214261454024,3.8251123744294193,48.743975349521705,70.72010869565217
2,2.0020554514390043,2.5678397288247963,42.410619021339215,52.6322463768116
3,1.8965554991975848,2.4305748120039774,40.63939477557027,48.36911231884058
4,1.8376512697099017,2.3876800892581884,39.595037711552614,46.74728260869565
5,1.7929666441106253,2.4087011341258546,38.821467991169975,47.54574275362319
6,1.7706881516426407,2.349801199063846,38.39392476085357,45.41213768115942
7,1.74111940151382,2.343928606383088,37.8455895879323,45.518115942028984
8,1.7169724116468754,2.3645029408293814,37.46180555555556,46.08469202898551
9,1.69632721487092,2.4121138078077364,37.089886865342166,47.23596014492754
10,1.6851035315975023,2.3419318914085046,36.86849245768948,45.02717391304348
11,1.6672853752867491,2.341575903239441,36.5024374540103,44.76449275362319
12,1.6455751656516115,2.3541791203290514,36.09924576894776,44.86050724637681
13,1.6301890470336173,2.3496392449709727,35.80847590139808,44.59827898550724
14,1.6161579737754161,2.3549094716413954,35.53460724797645,44.182065217391305
15,1.6008909225212817,2.354220458443854,35.218014164827075,44.40172101449275
16,1.5890771757950493,2.3666094222930094,35.001195732156,44.52219202898551
17,1.5786505331426435,2.371827156473345,34.79716243561442,44.51132246376812
18,1.570033267220609,2.3689583403853094,34.625528881530535,44.321105072463766
19,1.5606007376258897,2.3981318058255243,34.43635025754231,44.32835144927536
20,1.553462323172221,2.389837323129359,34.29070088300221,44.264945652173914
